,isin,text
272,SE0005999760,"Scandi Standard kommer att offentliggöra sin delårsrapport för Q3 2021 fredag, den 12/11 2021 klockan 07.30.Scandi Standard will publish its report for the third quarter 2021 on Friday, 12 November 2021 at 07.30 CET.Shareholders who wish to submit proposals to the nomination committee are welcome to do so in due time before the annual general meeting 2022 so that the nomination committee has time to consider the proposals. Proposals may be submitted to advokat&nbsp;Björn Svensson by email to bjorn.svensson@gda.seor by post to Gernandt &amp; Danielsson, attn. Björn Svensson, P.O. Box 5747, SE-114 87 Stockholm, Sweden.Aktieägare som vill lämna förslag till valberedningen är välkomna att göra det i god tid före årsstämman 2022 så att valberedningen hinner beakta förslaget. Förslag ska sändas till advokat Björn Svensson med e-post till bjorn.svensson@gda.seeller med brev till Gernandt &amp; Danielsson, att. Björn Svensson, Box 5747, 114 87 Stockholm.The Board of Directors of Scandi Standard (SCST SS) has decided to appoint Jonas Tunestål as new managing director and CEO. Tunestål is currently CEO of KLS Ugglarps and Executive Vice President of Danish Crown. Interim managing director and CEO Otto Drakenberg will remain with Scandi Standard until Jonas Tunestål joins the company next year.Scandi Standards (SCST SS) styrelse har beslutat att utse Jonas Tunestål till ny VD och koncernchef. Tunestål är för närvarande vd på KLS Ugglarps och Executive Vice President på Danish Crown. Scandi Standards nuvarande tillförordnade vd Otto Drakenberg fortsätter i sin roll till dess att Jonas Tunestål tillträder under inledningen av nästa år.Scandi Standard förväntas rapportera EBIT på ca 30 MSEK för tredje kvartalet. Resultatet påverkas bland annat av betydande prisökning på många insatsvaror, en fortsatt utmanande prisbild på exportmarknaden, betydande personalbrist i Irland till följd av Covid-19 samt tidigare offentliggjorda produktionsutmaningar i Sverige.Scandi Standard expects to post a Q3 EBIT of about MSEK 30. The result is among other things affected by a strong inflation on many of the group's input factors, a continued challenging price situation in export markets, severe under manning in Ireland due to Covid-19 and previously announced production challenges in Sweden.Scandi Standards finska dotterbolag har träffat en överenskommelse om en slutlikvid om 13 MSEK med säljarna av Huttulan Kukko.&nbsp;Scandi Standard's Finnish subsidiary has agreed a final purchase price payment of MSEK 13 with the sellers of the Huttulan Kukko business."
273,PLARTPR00012,"&nbsp;PRESSMEDDELANDEPRESSMEDDELANDEArctic Paper och Rottneros har ingått en avsiktsförklaring (Letter of Intent) avseende ett 50/50 joint venture i Kostrzyn, Polen i syfte att bygga en fabrik för formpressade fibertråg. Uppstart av den nya fabriken, som beräknas omsätta 9-11 MEUR per år, planeras till slutet av 2023. Investeringen förväntas uppgå till 12-15 MEUR, motsvarande 120-150 MSEK.Även om marknaden för grafiska papper har begränsad potential att växa, kommer efterfrågan på massa, innovativa förpackningslösningar och grön energi att fortsätta öka på grund av e-handelsboomen, övergången från plast till mer hållbara lösningar, samt högre priser på energi och utsläppsrätter för koldioxid.""During the period we have seen a continued recovery in demand and more favourable market conditions.""Michal Jarczyński, CEO&nbsp;""Under perioden har vi sett en fortsatt återhämtning i efterfrågan och gynnsammare marknadsförhållanden.""Michal Jarczyński, CEOMåndag den 26 juli tillkännagavs det överklagande som Arctic Paper Grycksbro lämnat in till EU-tribunalen. Bolaget tar strid mot EU-kommissionens beslut att utesluta pappersbruket från tilldelning av gratis utsläppsrätter på grund av att det använder för lite fossila bränslen. Tillkännagivandet innebär att den svenska regeringen nu har sex veckor på sig att intervenera för att stötta Arctic Paper och principerna bakom utsläppsrättssystemet.""När massapriserna stiger förändras balansen mellan massa och papper, men fördelarna med att kombinera papper och massa är fortfarande betydande.""Arctic Paper S.A. offentliggör sin rapport för det första kvartalet tisdagen den 11 maj.Arctic Paper konsoliderar försäljningsorganisationerna för Skandinavien och Baltikum till en gemensam enhet, Arctic Paper ScanBaltics. Leif-Arne Karlsen, idag verkställande direktör för det skandinaviska försäljningsbolaget, har utsetts till verkställande direktör för den nya enheten från och med den 1 juni 2021. Samtidigt har Māra Savicka utsetts till regionchef för de baltiska staterna."
274,SE0005991411,"På Kapellgärdet vid hörnet Gamla Uppsalagatan och Vattholmavägen uppför Besqab ett nytt bostadskvarter med 146 hyresrättslägenheter, ett vårdboende med 80 lägenheter samt en förskola. Idag togs ett gemensamt första spadtag för kvarteret genom att plantera ett äppelträd. Spadtaget togs av Besqabs VD, Carola Lavén, kommunstyrelsens ordförande Erik Pelling, Vardagas VD, Ulla Tansen samt Child Academys VD, Lars Pettersson.Besqab AB (publ) (""Bolaget"") har framgångsrikt emitterat ytterligare seniora icke-säkerställda gröna obligationer om 300 Mkr med förfall den 14 maj 2024 under sitt ramverk om totalt 800 Mkr med ISIN SE0015950233. Efter emissionen av de gröna ytterligare obligationerna kommer ramverket att ha utnyttjats i sin helhet. Obligationerna emitteras till ett pris om 101,75 procent av nominellt belopp vilket motsvarar en kupong om STIBOR 3 månader plus 4,45 procent.Besqab AB (publ) (""Bolaget"") meddelar härmed att Bolaget har givit Carnegie Investment Bank AB (publ) och Swedbank AB (publ) i uppdrag att arrangera investerarmöten den 27 oktober, för att undersöka möjligheten att emittera ytterligare obligationer om upp till 300 Mkr under Bolagets existerande 2021/2024 seniora icke-säkerställda gröna obligationslån om 500 Mkr med en ram om 800 Mkr (ISIN: SE0015950233). En obligationsemission kan komma att genomföras beroende av, bland annat, rådande marknadsförutsättningar.Fortsatt stark bostadsmarknadBesqab har av Stockholms stad fått en markanvisning vid Årstatråket mellan Årsta torg och Årstafältet innefattande cirka 100 bostäder varav ungefär hälften kommer att utgöra seniorboenden. &nbsp;Besqab produktionstartar Solna Estrad med 62 bostadsrättslägenheter som är den första av fyra byggnadsetapper längs Solnavägen vid Solna Centrum. Samtidigt startar Besqab produktionen av Häggviks Dunge i Sollentuna med totalt 85 bostads-rättslägenheter. Båda projekten redovisas som produktionsstartade under tredje kvartalet 2021.Besqab har tecknat avtal om att förvärva en fastighet i Trollbäcken i Tyresö. Planen är att utveckla ett flerfamiljshus med ca 60 nya bostadsrättslägenheter. Fastigheten är belägen i ett strandnära område precis invid Drevviken.Valberedningens ledamöter inför Besqabs årsstämma 2022 har nu utsetts. I enlighet med av årsstämman beslutade instruktioner ska styrelsens ordförande sammankalla en valberedning bestående av tre eller fyra ledamöter: en ledamot utsedd av var och en av de tre till röstetalet största aktieägarna den sista bankdagen i augusti året före årsstämman, samt styrelsens ordförande, om denne inte är ledamot i egenskap av ägarrepresentant. Ordförande i valberedningen ska vara styrelsens ordförande.Besqab har förvärvat och tillträtt en fastighet i Huddinge där planen är att utveckla nya bostadsbyggrätter för ca 70 lägenheter. Fastigheten är belägen i ett lugnt och centralt område i östra Stuvsta i Huddinge kommun.Stark försäljning och ökad produktionstakt""Det första halvåret 2021 präglades av en stark bostadsmarknad med stor efterfrågan på bostäder, också inom nyproduktion. Vi har säljstartat flera nya bostadsprojekt och marknadsmottagandet har varit mycket gott med hög boknings- och försäljningstakt. Med en stark marknad som grund och med myndighetsbeslut på plats startade vi ytterligare två projekt under andra kvartalet och produktionsstarterna summerar därmed till 278 bostäder hittills i år. Vi fortsätter vårt målmedvetna arbete och tar successivt steg i riktning mot våra uppsatta mål, bland annat genom att emittera vårt första gröna obligationslån. Emissionslikviden adderar till vår redan starka kassa och stärker beredskapen i det löpande ackvisitionsarbetet.""&nbsp;- Carola Lavén, VD&nbsp;"
275,SE0001824004,"July - September 2021juli - september 2021G5 Entertainment, en av Europas ledande utvecklare och utgivare av mobilspel, presenterar sin finansiella rapport för tredje kvartalet den 5 november 2021 klockan 07.30 (CET).G5 Entertainment AB, a leading European casual mobile game developer and publisher will release its financial results for the third quarter 2021 on November 5[th] 2021, at 07:30am (CET).I enlighet med beslut vid årsstämman 2021 har en valberedning utsetts bestående av representanter för de fem största aktieägarna vid utgången av augusti 2021.In accordance with the resolution of the Annual General Meeting 2021, a Nomination Committee has been appointed consisting of representatives of the five largest shareholders at the end of August 2021.""Under andra kvartalet såg vi ett fortsatt starkt engagemang för våra spel och också en förbättrad intjäningsförmåga i spelen."" säger Vlad Suglobov, VD på G5 Entertainment. ""Våra egenutvecklade spel ökade, räknat i dollar, med 23 procent jämfört med samma period föregående år och med 5 procent från kvartal till kvartal. Den nya generationen spel, det vill säga de spel som vi släppt under de senaste två åren, lyfte med 74 procent i dollar, jämfört med samma period föregående år - och med 13 procent kvartal till kvartal. Den nya generationen spel representerade 47 procent av omsättningen under kvartalet och är nu vårt överlägset största portföljsegment. Om vi tittar på hela vår spelportfölj, så representerar de egna spelen 64 procent, jämfört med 53 procent för ett år sedan. Sammantaget hade vi ett rekordartat första halvår då vi levererade en EBIT på 103 miljon Arbetet med våra nya spel fortsätter. Hittills i år har vi släppt två nya spel och vi räknar med totalt sex nya spel 2021.""""In the second quarter we saw continued strong engagement in our games and improved monetization"", said Vlad Suglobov, CEO of G5 Entertainment. ""Our own games grew 23% year-over-year and 5% quarter-to-quarter in USD terms. The new generation of games (released during the last two years) jumped 74% year-over-year and 13% quarter-to-quarter in USD terms. The new generation of games represented 47% of revenue in the quarter, now our biggest segment of the portfolio by far. If we look at the total own games portfolio it represents 64% of revenue compared to 53% a year ago. All in all, we had a record first half of the year delivering record EBIT of SEK 103 M, which is 23% growth compared to the same period last year. The work on our new games continues. We released two games this year and remain on track to release six new games in 2021.""G5 Entertainment AB, a leading European casual mobile game developer and publisher will release its financial results for the second quarter 2021 on August 11[th] 2021 at 07:30am (CET).G5 Entertainment, en av Europas ledande utvecklare och utgivare av mobilspel, presenterar sin finansiella rapport för andra kvartalet den 11 augusti 2021 klockan 07.30 (CET)."
278,SE0005992831,"STOCKHOLM, SWEDEN 29 October 2021 - Starbreeze AB today announces that the number of Class B shares increased by 2,220 and the number of Class A shares decreased by the same number during October due to the company's ongoing conversion program. The number of votes decreased by 19,980.&nbsp;STOCKHOLM, 29 oktober 2021 - Starbreeze AB meddelar idag att antalet B-aktier ökade med2 220 och antalet A-aktier minskade med samma antal under oktober till följd av bolagets pågående omvandlingsprogram. Antalet röster minskade med 19 980.STOCKHOLM, 30 september 2021 - Starbreeze AB meddelar idag att antalet B-aktier ökade med318 577 och antalet A-aktier minskade med samma antal under september till följd av bolagets pågående omvandlingsprogram. Antalet röster minskade med 2 867 193.STOCKHOLM, SWEDEN 30 September 2021 - Starbreeze AB today announces that the number of Class B shares increased by 318,577 and the number of Class A shares decreased by the same number during September due to the company's ongoing conversion program. The number of votes decreased by 2,867,193.&nbsp;STOCKHOLM, SWEDEN 30 July 2021 - Starbreeze AB today announces that the number of Class B shares increased by 185,000 and the number of Class A shares decreased by the same number during July due to the company's ongoing conversion program. The number of votes decreased by 1,665,000.STOCKHOLM, 30 juli 2021 - Starbreeze AB meddelar idag att antalet B-aktier ökade med 185 000 och antalet A-aktier minskade med samma antal under juli till följd av bolagets pågående omvandlingsprogram. Antalet röster minskade med 1 665 000.&nbsp;STOCKHOLM, 31 juni 2021 - Starbreeze AB meddelar idag att antalet B-aktier ökade med 1 867 594 och antalet A-aktier minskade med samma antal under juni till följd av bolagets pågående omvandlingsprogram. Antalet röster minskade med 16 808 346.STOCKHOLM, SWEDEN 30 June 2021 - Starbreeze AB today announces that the number of Class B shares increased by 1,867,594 and the number of Class A shares decreased by the same number during June due to the company's ongoing conversion program. The number of votes decreased&nbsp;by 16,808,346.&nbsp;"
284,SE0005799046,"VD:s kommentarer till koncernens utvecklingHåkan Lindor, som sedan 2018 är styrelseledamot i AGES Industri AB (publ), har meddelat sin avsikt att utträda ur styrelsen. Bakgrunden är att Håkan åtagit sig andra uppdrag vilka föranleder intressekonflikt. Håkan avser lämna AGES styrelse den 8 september 2021.Styrelsen i AGES Industri AB har beslutat att ingå kortfristiga aktieägarlån med Pomona-gruppen AB (närstående till styrelsemedlemmen Fredrik Rapp) och VIEM Invest AB (närstående till styrelsemedlemmen Anna Benjamin). Lånen uppgår totalt till 30 Mkr och kommer att användas för att hantera ökad tillväxt och den därigenom ökade rörelsekapitalbindningen samt till flertalet nytecknade kundprojekt som startas upp under hösten.&nbsp;Årsstämma har idag den 4 maj 2021 avhållits i AGES Industri AB (publ).VD:s kommentarer till koncernens utvecklingAGES Industri AB publicerar i dag sin årsredovisning för räkenskapsåret 2020 på bolagets hemsida ages.se .AGES Industri AB (publ) kallar till årsstämma tisdagen den 4 maj 2021.Korrigering av tidigare utsänd bokslutskommuniké 2020 där vi felaktigt angett att rapporten granskats av revisor. Detta är nu korrigerat i bifogad bilaga.&nbsp;*I fjärde kvartalet 2019 gjordes nedskrivning av goodwill om totalt ca -150 MSEK."
285,SE0004019545,"Brighter AB (Publ)&nbsp;(""Brighter"" eller ""Bolaget"") meddelade idag att det kommer att rapportera resultatet för tredje kvartalet 2021 måndagen den 15 november 2021. Medlemmar av Brighters team kommer att hålla en telefonkonferens (på svenska) för aktieägare, analytiker, och media tisdagen den 16 november 2021 kl. 13:00 CET för att diskutera resultatet för tredje kvartalet 2021. Efter presentationen följer en frågestund. Brighter uppmanar de som ämnar delta i konferenssamtalet att i förväg skicka frågor till ir@brighter.seAktieägarna i Brighter AB (publ), org. nr 556736-8591, kallas härmed till extra bolagsstämma tisdagen den 7 december 2021 kl. 13:00 i bolagets lokaler på Borgarfjordsgatan 18 i Kista.NOT FOR RELEASE, PUBLICATION OR DISTRIBUTION, IN WHOLE OR IN PART, DIRECTLY OR INDIRECTLY, IN OR INTO THE UNITED KINGDOM, THE UNITED STATES, CANADA, JAPAN, AUSTRALIA, HONG KONG, NEW ZEALAND, SWITZERLAND, SOUTH AFRICA OR ANY OTHER JURISDICTION WHERE SUCH RELEASE, PUBLICATION OR DISTRIBUTION WOULD BE UNLAWFUL OR WOULD REQUIRE REGISTRATION OR ANY OTHER MEASURES.EJ FÖR OFFENTLIGGÖRANDE, PUBLICERING ELLER DISTRIBUTION, DIREKT ELLER INDIREKT, I ELLER TILL USA, AUSTRALIEN, JAPAN, NYA ZEELAND, SYDAFRIKA, SYDKOREA, KANADA ELLER I NÅGON ANNAN JURISDIKTION DÄR DISTRIBUTION AV DETTA PRESSMEDDELANDE SKULLE VARA OLAGLIG.Brighter AB (Publ) (the Company) announced today that the subscription period for Brighter's warrant T06 will end on November 1, 2021, in accordance with the applicable terms.&nbsp;Brighter AB (Publ)&nbsp;announced today that its subsidiary, Camanio, has won an allocation decision with Ragunda and Strömsunds Municipalities for stationary care alarms and alarm monitoring at an estimated order value of about 4.8 MSEK. The agreement will include delivery of a digital care platform for alarm monitoring and management, as well as hardware in the form of care alarms, sensors, and wearable alarm buttons.Brighter (Publ) meddelade idag att Camanio har vunnit tilldelningsbeslut med Ragunda och Strömsunds kommuner för stationära trygghetslarm och larmmottagning till ett estimerat ordervärde om minst 4.8 M SEK. Avtalet omfattar leverans av digital omsorgsplattform för larmhantering och hårdvara i form av stationärt trygghetslarm, sensorer och bärbar larmknapp.&nbsp;Brighter AB (Publ) today announced that it has signed a reseller agreement with Medico - the leading provider of cloud-based healthcare-management systems in Indonesia. Medico also offers a telemedicine app for patients, and wants to be able to offer Actiste® and Actiste® Mini to its patients.Brighter AB (Publ) meddelade idag att de har tecknat ett återförsäljaravtal gällande Actiste® Mini med Medico, den ledande leverantören av molnbaserade sjukvårdssystem i Indonesien. Medico erbjuder också en telemedicinsk app för patienter."
286,SE0005308558,"Örnsköldsvik, 4 november 2021,&nbsp;Styrelsen för Clavister Holding AB (""Clavister"") har, med stöd av bemyndigande från årsstämman år 2021, beslutat om en riktad kvittningsemission av 1&nbsp;703&nbsp;783 aktier till ett pris om 7,08 SEK per aktie, vilket motsvarar aktiens volymviktade genomsnittskurs för en period om 20 affärsdagar innan den 28 oktober 2021.Örnsköldsvik, November 4, 2021,&nbsp;The Board of Directors of Clavister Holding AB (""Clavister"") has, with the support of the issue authorization from the Annual General Meeting in 2021, resolved on a directed set-off issue of 1.703.783 shares at a price of SEK 7.08 per share, corresponding to the volume weighted average price of the share for a period about 20 business days before October 28, 2021.28 oktober, 2021 - Örnsköldsvik, Sverige - Clavister, enledande europeisk leverantör av cybersäkerhetslösningar för driftskritiska tillämpningar, har slutfört ett strategiskt förvärv av Omen Technologies AB - en leverantör av innovativ cybersäkerhetsteknik baserad på artificiell intelligens (AI) - som kommer att stärka Clavisters lösningsportfölj och ge en möjlighet att adressera den snabbt växande marknaden för AI-baserad cybersäkerhet. Av köpeskillingen på 15 MSEK betalas 3,15 MSEK med kontanta medel och 11,85 MSEK med nyemitterade aktier i Clavister. Clavister har idag i ett separat pressmeddelande annonserat preliminär finansiell information för tredje kvartalet för att möjliggöra genomförandet av förvärvet.Clavister Completes Acquisition of Cybersecurity AI Specialist Omen TechnologiesClavister releases preliminary financial information for the third quarter. The information is submitted on the basis that Clavister&nbsp;announce an acquisition of a Swedish cybersecurity company. The information has not been subject to the auditor's review and the full interim report will be submitted on November 11, 2021.Clavister presenterar redan nu viss preliminär finansiell information för tredje kvartalet. Uppgifterna lämnas utifrån att Clavister offentliggör ett förvärv av ett svenskt cybersäkerhetsbolag. Uppgifterna har inte varit föremål för revisorns granskning och den fullständiga kvartalsrapporten släpps den 11 november 2021.<strong>10 September, 2021 -</strong> <strong>Örnsköldsvik, Sweden</strong>&nbsp;<strong>–</strong> <strong>Clavister, a European leader in high-performance cybersecurity solutions,</strong><strong>today announced that ABG Sundal Collier has initiated equity research coverage on the company.</strong><strong>10 september, 2021 -</strong> <strong>Örnsköldsvik</strong> <strong>–</strong> <strong>Clavister, en av Europas ledande leverantörer av högpresterande cybersäkerhetslösningar, annonserar idag att</strong> <strong>ABG Sundal Collier har initierat uppdragsanalys av Clavister.</strong><span><span><span><em><span><span>Örnsköldsvik, Sverige, den 26:e Augusti 2021.&nbsp;</span></span></em><span><span>Clavister, en ledande leverantör av högpresterande cybersäkerhetslösningar, har idag publicerat sin senaste delårsrapport.</span></span></span></span></span><span><span><span><em><span><span>August 26, 2021, Örnsköldsvik, Sweden</span></span></em><span><span>. Clavister, a leader in high-performance cybersecurity solutions, released its latest quarterly report for 2021.</span></span></span></span></span>"
288,SE0011415710,"&nbsp;Dome Energy AB&nbsp;( href=""https://domeenergy.com"" https://domeenergy.com) (publ) (härefter ""Dome"" eller ""Bolaget"") har genom konvertering av konvertibelt lån utgivit 750&nbsp;000 aktier à 2 kronor per aktie till TJ Junior AB.Dome Energy AB&nbsp;( href=""https://domeenergy.com"" https://domeenergy.com) (publ) (härefter ""Dome"" eller ""Bolaget"") har genomfört årsstämma tillika en första kontrollstämma onsdagen den 23 juni 2021 klockan 14.00 hos Partner Fondkommission AB, Smålandsgatan 10, Stockholm.Som förut meddelats ingick Dome Energy den 12 mars 2021 ett LOI med ägarna till First Hotels International AS om ett förvärv varvid dessa skulle äga cirka 80% av Dome efter apportemission. First äger varumärket och franchiserättigheterna till 33 hotell i Norden varav 29 i Sverige. Dome meddelade att man avsåg att kalla till extra bolagsstämma för att besluta om förvärv.Finns på bolagets hemsida tillsammans med fullmaktsformulär.BakgrundDen 19 oktober 2020 höll Bolaget en extrastämma varvid beslöts att ge styrelsen mandat att sälja ut inkråmet till Bolagets långivare. Stämman var över omkring klockan 16.30. Klockan 12.30 nästa dag publicerades kommuniké från den stämman med en enda rad:Aktieägarna i Dome Energy AB (publ), org.nr 556533-0189 (""Bolaget""), kallas härmed till ordinarie bolagsstämma (årsstämma) tillika första kontrollstämma (""Årsstämman"") onsdagen den 23 juni 2021 kl. 14.00 i Partner Fondkommission AB:s lokaler på Smålandsgatan 10 i Stockholm.&nbsp;Med stöd av bemyndigande från årsstämman 2020 har styrelsen den 29 mars 2021 beslutat utge ett konvertibelt lån på 1 500 000 SEK till TJ Junior AB med rätt för bolaget att påkalla konvertera till 2 SEK per aktie före den 2 augusti 2021. Betalning erläggs genom kvittning mot ett lån som lyftes kontant den 14 mars 2021. Lånet löper med 8% årlig ränta.Dome har idag ingått LOI med innebörd att genom en apportemission förvärva First Hotels International AS med fyra dotterbolag (""First""). First kan beskrivas som tjänsteleverantör till hotellkedjor och erbjuder marknadsförings-, sälj- och distributionstjänster till dessa. Det finns i dag 33 ""First"" hotell i Norge, Sverige och Danmark med franchiseavtal som löper upp till 20 år. Med förvärvet följer äganderätten till varumärket First Hotels™."
290,SE0005878543,"HANZA Holding AB (publ) yesterday announced the acquisition of Helmut Beyers GmbH, an electronics company in Germany. Today, Beyers' CEO and former principal owner have purchased a total of 450,000 shares in HANZA, corresponding to 1.3% of the total number of shares in the company. Price per share was SEK 33, which equals a total purchase price of SEK 14,850,000.HANZA Holding AB (publ) presenterade igår att de förvärvat Helmut Beyers GmbH, ett elektronikbolag i Tyskland. Beyers VD och före detta huvudägare har i dag köpt sammanlagt 450&nbsp;000 aktier i HANZA, motsvarande 1,3 % av det totala antalet aktier i bolaget. Pris per aktie var 33 kr, vilket betyder en total köpeskilling om 14&nbsp;850&nbsp;000 kr.HANZA Holding AB (publ) has acquired Helmut Beyers GmbH (""Beyers""), an electronics manufacturer in Mönchengladbach, Germany, with approximately 150 employees. The deal marks a restart for the expansion in Germany, which was temporarily put on hold during the pandemic.HANZA Holding AB (publ) har i dag förvärvat Helmut Beyers GmbH (""Beyers""), en elektroniktillverkare i Mönchengladbach, Tyskland, med ca 150 medarbetare. Affären markerar även en återstart för expansionen i Tyskland som haft ett uppehåll under pandemin.HANZA Holding AB (publ) will publish its interim report for the third quarter of 2021 on November 9 at approx. 7.30 am CET. In connection with the report, HANZA invites investors, shareholders and media to a combined audiocast and conference call at 11.00 am CET the same day.HANZA Holding AB (publ) publicerar sin delårsrapport för kvartal 3, 2021 den 9 november ca kl 7.30 CET. Med anledning av rapporten bjuder HANZA in investerare, analytiker och media till en kombinerad telefonkonferens och audiocast kl 11.00 CET samma dag.In accordance with a resolution passed at HANZA Holding AB's last Annual General Meeting, a nomination committee consisting of four members, including the Chairman of the Board, shall be appointed by the three shareholders or ownership groups controlling the largest number of votes. Since one of the main owners is also the Chairman of the Board, and thus already has a seat on the Nomination Committee, he has waived his right to nominate a member in favor of the fourth largest shareholder.Enligt beslut på HANZA Holding ABs senaste årsstämma skall en valberedning på fyra ledamöter, inklusive styrelsens ordförande, utses av de tre röstmässigt största ägarna eller ägargrupperna. Då en av huvudägarna är tillika styrelsens ordförande, och därmed redan har en plats i Valberedningen, har denne avstått från sin rätt att nominera en ledamot till förmån till den fjärde största aktieägaren.HANZA, listed on Nasdaq Stockholm, continues to experience high demand, and has decided on investments of approximately SEK 30 million in Finland.HANZA Holding AB (publ) reports solid development during the second quarter of 2021. HANZA also sees a long-term&nbsp;increase in&nbsp;demand , hence the company is making further investments in the Group's manufacturing clusters."
291,SE0005933082,"Göteborg 4 november 2021 kl. 14.10.GOTHENBURG, Sweden, 4 November 2021 at 14:10&nbsp;CETHeliospectra AB (publ) (""Heliospectra"" or ""the Company"") informs about issued warrants of series 2020/21 (""Warrants""). Two (2) Warrants give the right to subscribe for one (1) new share in the Company against cash payment of SEK 3.1 per share during the period November 1 through November 30, 2021. Last day for trading in the Warrants is November 25, 2021. If all Warrants are exercised, the Company will receive a maximum of approximately SEK 32.7 million before issue costs.Heliospectra AB (publ) (""Heliospectra "" eller ""Bolaget"") informerar om utställda teckningsoptioner av serie 2020/21 (""Teckningsoptioner""). Två (2) Teckningsoptioner ger rätt att teckna en (1) ny aktie i Bolaget mot kontant betalning om 3,1 SEK per aktie under perioden 1 november 2021 till och med 30 november 2021. Sista dagen för handel med Teckningsoptioner är den 25 november 2021. Om alla Teckningsoptionerna utnyttjas kan Bolaget maximalt tillföras cirka 32,7 MSEK före emissionskostnader.(Göteborg, Sverige, 22e oktober 2021, kl 08:30) - Heliospectra AB (publ) (First North Growth Market: HELIO), världsledande inom intelligent belysningsteknik&nbsp;för växthus och kontrollerade odlingsmiljöer, presenterar idag sin Delårsrapport för perioden juli - september 2021.(Gothenburg, Sweden, October 22, 2021, at 08:30 CEST)- Heliospectra AB (publ&nbsp;(Nasdaq First North Growth Market: HELIO),&nbsp;a world leader in intelligent lighting technology for greenhouse and controlled plant growth environments, presents&nbsp;its'&nbsp;Interim Report&nbsp;for&nbsp;July - September&nbsp;2021.&nbsp;(Gothenburg, Sweden October 7th, 2021, at 17.35&nbsp;CEST) - Heliospectra AB&nbsp;replaces lights of the MITRA model following the identification of a faulty fuse. The error has been traced back to component level and is limited to limited production series. So far, the company has already replaced a quarter of the affected lights. However, Heliospectra has chosen to set aside an additional SEK 5.4 million in the forthcoming quarterly report to cover additional warranty and conversion costs should they arise.(Göteborg, Sverige, 7e oktober 2021, kl 17:35&nbsp;CEST) -&nbsp;Heliospectra byter ut lampor av modellen MITRA efter att det uppkommit fel i säkringen som kan härledas till fel på komponentnivå. Felet kan härledas till begränsade produktionsserier och företaget har redan nu ersatt en fjärdedel av de lampor som producerats. Heliospectra har dock valt att i kommande kvartalsrapport avsätta ytterligare 5,4 MSEK för att täcka eventuella garanti- och ombyggnadskostnader. &nbsp;(Göteborg, Sverige, 20e augusti 2021) - Heliospectra AB (publ) (First North Growth Market: HELIO), världsledande inom intelligent belysningsteknik&nbsp;för växthus och kontrollerade odlingsmiljöer, presenterar idag sin Halvårsrapport för 2021.(Gothenburg, Sweden August 20th, 2021)- Heliospectra AB (publ (Nasdaq First North Growth Market: HELIO), a world leader in intelligent lighting technology for greenhouse and controlled plant growth environments, presents its' Half Year Report&nbsp;for January-June&nbsp;2021.&nbsp;"
